Date,Record,Unit,Value1,Value2,Value3,Value4,Value5
20170306063800,RDRE,T_BHLAW-1,100.0,,,,
20160823111400,RDRE,T_BLLA-1,118.0,,,,
20170505094900,RDRE,T_BLLA-2,30.0,,,,
20180417054300,RDRE,T_BOWLW-1,90.0,63,90.0,1,90.0
20180417054800,RDRE,T_BRBEO-1,258.0,10,258.0,1,258.0
20161203025300,RDRE,T_CARR-1,28.0,180,16.4,100,16.4
20170731183500,RDRE,T_CARR-2,28.0,180,16.4,100,16.4
20180826223700,RDRE,T_CDCL-1,35.0,210,15.0,195,8.0
20161216150500,RDRE,T_CGTHW-1,28.0,,,,
20140821152300,RDRE,T_CLDCW-1,100.0,,,,
20140821152400,RDRE,T_CLDNW-1,100.0,,,,
20140821152500,RDRE,T_CLDSW-1,100.0,,,,
20180626131500,RDRE,T_CNQPS-1,13.0,125,3.8,90,45.0
20180823205800,RDRE,T_CNQPS-2,13.5,115,0.3,60,12.0
20180626131500,RDRE,T_CNQPS-3,13.0,125,3.8,90,45.0
20180626131400,RDRE,T_CNQPS-4,13.0,125,3.8,90,45.0
20180925000500,RDRE,T_COSO-1,14.0,210,16.0,130,16.0
20180924092100,RDRE,T_COTPS-1,12.0,250,5.0,200,100.0
20180924092100,RDRE,T_COTPS-2,12.0,250,5.0,200,100.0
20180924092200,RDRE,T_COTPS-3,12.0,250,5.0,200,100.0
20180924092200,RDRE,T_COTPS-4,12.0,250,5.0,200,100.0
20130524134800,RDRE,T_CRGHW-1,50.0,,,,
20171215162400,RDRE,T_CRMLW-1,47.5,,,,
20110801120400,RDRE,T_CRUA-1,480.0,,,,
20131023210800,RDRE,T_CRUA-2,480.0,,,,
20060108172200,RDRE,T_CRUA-3,480.0,,,,
20051228104500,RDRE,T_CRUA-4,480.0,,,,
20130514080300,RDRE,T_CRYRW-2,999.0,,,,
20180914090200,RDRE,T_DAMC-1,10.0,255,0.2,253,32.0
20180301193500,RDRE,T_DEEP-1,20.0,260,53.0,100,24.0
20180919145900,RDRE,T_DIDCB5,26.0,360,0.2,357,8.0
20180911200100,RDRE,T_DIDCB6,26.0,376,0.5,370,8.0
20180401050300,RDRE,T_DINO-1,999.0,,,,
20030407164300,RDRE,T_DINO-2,999.0,,,,
20030407164400,RDRE,T_DINO-3,999.0,,,,
20030412023800,RDRE,T_DINO-4,999.0,,,,
20030412023900,RDRE,T_DINO-5,999.0,,,,
20030412023900,RDRE,T_DINO-6,999.0,,,,
20100929173200,RDRE,T_DNGB21,3.0,50,10.0,,
20100929173200,RDRE,T_DNGB22,3.0,50,10.0,,
20160823111500,RDRE,T_DNLWW-1,30.0,,,,
20180904103800,RDRE,T_DRAXX-1,10.0,300,10.0,200,99.0
20180404112800,RDRE,T_DRAXX-10G,32.0,,,,
20180404112800,RDRE,T_DRAXX-12G,32.0,,,,
20180921235600,RDRE,T_DRAXX-2,10.0,300,10.0,200,99.0
20180925231600,RDRE,T_DRAXX-3,10.0,300,10.0,200,99.0
20180925231600,RDRE,T_DRAXX-4,10.0,300,10.0,200,99.0
20180911164500,RDRE,T_DRAXX-5,10.0,300,10.0,200,99.0
20180925215100,RDRE,T_DRAXX-6,10.0,300,10.0,200,99.0
20180404112800,RDRE,T_DRAXX-9G,32.0,,,,
20170314090300,RDRE,T_DRSLW-1,33.0,,,,
20170814101400,RDRE,T_DUNGW-1,9.5,,,,
20180626130700,RDRE,T_EECL-1,13.5,125,8.0,70,8.0
20050331230000,RDRE,T_ERRO-1,10.0,25,10.0,4,10.0
20050331230000,RDRE,T_ERRO-2,10.0,25,10.0,4,10.0
20050401025000,RDRE,T_ERRO-3,10.0,25,10.0,4,10.0
20170126101700,RDRE,T_EWHLW-1,18.0,,,,
20130514080800,RDRE,T_FALGW-1,999.0,,,,
20171128153500,RDRE,T_FARR-1,10.0,,,,
20171128153500,RDRE,T_FARR-2,10.0,,,,
20050331232500,RDRE,T_FASN-1,6.0,22,6.0,7,6.0
20050726195000,RDRE,T_FASN-2,6.0,22,6.0,7,6.0
20180401050100,RDRE,T_FFES-1,90.0,,,,
20010528043600,RDRE,T_FFES-2,90.0,,,,
20010528043600,RDRE,T_FFES-3,90.0,,,,
20010528043600,RDRE,T_FFES-4,90.0,,,,
20020930222600,RDRE,T_FIDL-1,6.0,240,20.0,,
20021010122400,RDRE,T_FIDL-2,6.0,240,20.0,,
20070531093000,RDRE,T_FIDL-2G,17.0,,,,
20020930223800,RDRE,T_FIDL-3,6.0,240,20.0,,
20070531093200,RDRE,T_FIDL-3G,17.0,,,,
20030821073000,RDRE,T_FIDL-4,6.0,240,20.0,,
20050401001400,RDRE,T_FINL-1,4.0,16,4.0,3,4.0
20170104142800,RDRE,T_FOYE-1,150.0,,,,
20170104142900,RDRE,T_FOYE-2,150.0,,,,
20180504132600,RDRE,T_GANW-11,15.0,,,,
20180504132500,RDRE,T_GANW-13,15.0,,,,
20180504132500,RDRE,T_GANW-22,15.0,,,,
20180504132500,RDRE,T_GANW-24,15.0,,,,
20170413202100,RDRE,T_GLNDO-1,101.0,100,101.0,1,101.0
20170126101800,RDRE,T_GNAPW-1,11.0,,,,
20140103143300,RDRE,T_GNFSW-1,108.0,2,108.0,1,108.0
20180417052500,RDRE,T_GNFSW-2,65.0,2,65.0,1,65.0
20170316142600,RDRE,T_GORDW-1,70.0,,,,
20180626152100,RDRE,T_GRAI-6,12.0,230,12.0,128,19.0
20180626152400,RDRE,T_GRAI-7,12.0,230,12.0,128,19.0
20171007221500,RDRE,T_GRAI-8,12.0,230,12.0,128,19.0
20100204173800,RDRE,T_GRAI1G,7.2,26,7.0,25,7.0
20100204173800,RDRE,T_GRAI4G,7.2,26,7.0,25,7.0
20130102121900,RDRE,T_GRGBW-1,50.0,,,,
20130103120700,RDRE,T_GRGBW-2,50.0,,,,
20130103120900,RDRE,T_GRGBW-3,50.0,,,,
20140821152900,RDRE,T_GRIFW-1,100.0,,,,
20140821153100,RDRE,T_GRIFW-2,100.0,,,,
20050331230000,RDRE,T_GRMO-1,1.0,85,2.0,20,20.0
20180501085400,RDRE,T_GYMR-15,15.0,,,,
20180501085300,RDRE,T_GYMR-17,15.0,,,,
20180501085300,RDRE,T_GYMR-26,15.0,,,,
20180501085400,RDRE,T_GYMR-28,15.0,,,,
20130514081400,RDRE,T_HADHW-1,999.0,,,,
20101104140200,RDRE,T_HEYM11,6.0,230,999.0,,
20101104140300,RDRE,T_HEYM12,6.0,230,999.0,,
20141001114100,RDRE,T_HEYM27,5.0,150,999.0,,
20141001114200,RDRE,T_HEYM28,5.0,150,999.0,,
20101013163500,RDRE,T_HINB-7,4.0,,,,
20101013163500,RDRE,T_HINB-8,4.0,,,,
20170801161900,RDRE,T_HMGTO-1,20.0,50,20.0,10,20.0
20170801162100,RDRE,T_HMGTO-2,20.0,50,20.0,10,20.0
20160823111500,RDRE,T_HRSTW-1,65.0,,,,
20100908170300,RDRE,T_HRTL-1,6.0,190,999.0,,
20100908170600,RDRE,T_HRTL-2,6.0,190,999.0,,
20180920210100,RDRE,T_HUMR-1,24.0,640,16.0,330,8.0
20101117145300,RDRE,T_HUNB-7,4.0,550,4.0,175,3.0
20101117145300,RDRE,T_HUNB-8,8.0,470,4.0,175,3.0
20110722131100,RDRE,T_INDQ-1,10.0,2,10.0,1,10.0
20180908233000,RDRE,T_KEAD-1,14.0,350,30.0,1,999.0
20151019100000,RDRE,T_KEADGT-3,3.2,,,,
20130514081600,RDRE,T_KILBW-1,999.0,,,,
20180904180200,RDRE,T_KILLPG-1,22.0,116,0.2,115,22.0
20180626151900,RDRE,T_KILLPG-2,22.0,200,22.0,100,21.0
20151028162100,RDRE,T_KILNS-1,30.0,,,,
20170126101800,RDRE,T_KLGLW-1,141.0,,,,
20180923180100,RDRE,T_LAGA-1,2.0,828,27.0,,
20170801162900,RDRE,T_LARYW-1,75.0,100,75.0,50,75.0
20170801163000,RDRE,T_LARYW-2,75.0,100,75.0,50,75.0
20170801163200,RDRE,T_LARYW-3,80.0,100,80.0,50,80.0
20170802091600,RDRE,T_LARYW-4,80.0,100,80.0,50,80.0
20180925204300,RDRE,T_LBAR-1,25.0,160,25.0,140,25.0
20121026131400,RDRE,T_LBAR-1G,5.0,17,5.0,1,5.0
20180417053200,RDRE,T_LNCSW-1,121.0,2,121.0,1,121.0
20180417053500,RDRE,T_LNCSW-2,135.0,2,135.0,1,135.0
20171010181600,RDRE,T_MEDP-1,20.0,480,20.0,340,10.0
20130514081700,RDRE,T_MILWW-1,999.0,,,,
20151006065700,RDRE,T_MKHLW-1,53.0,,,,
20180813172100,RDRE,T_MRWD-1,30.0,204,0.3,200,13.0
20120410204500,RDRE,T_NANT-1,3.0,15,3.0,14,3.0
20010321090800,RDRE,T_OLDS1,5.0,100,5.0,50,5.0
20010321090800,RDRE,T_OLDS2,5.0,100,5.0,50,5.0
20130514082100,RDRE,T_OMNDW-1,999.0,,,,
20180925040800,RDRE,T_PEHE-1,30.0,720,6.8,300,16.0
20100113105900,RDRE,T_PEHE-2,8.0,170,8.0,120,120.0
20180815144500,RDRE,T_PEMB-11,17.5,150,27.5,80,15.0
20180824043200,RDRE,T_PEMB-21,17.5,150,27.5,80,15.0
20180605115800,RDRE,T_PEMB-31,17.5,150,27.5,80,15.0
20180606131500,RDRE,T_PEMB-41,17.5,150,27.5,80,15.0
20180816085800,RDRE,T_PEMB-51,17.5,150,27.5,80,15.0
20180626113100,RDRE,T_RATS-1,10.0,230,15.0,140,80.0
20180626113100,RDRE,T_RATS-2,10.0,230,15.0,140,80.0
20180626113100,RDRE,T_RATS-3,10.0,230,15.0,140,80.0
20180626113100,RDRE,T_RATS-4,10.0,230,15.0,140,80.0
20180626113500,RDRE,T_RATSGT-2,17.0,6,16.0,3,15.0
20180626113500,RDRE,T_RATSGT-4,17.0,6,16.0,3,15.0
20180417055100,RDRE,T_RCBKO-1,295.0,2,295.0,1,295.0
20180417055200,RDRE,T_RCBKO-2,295.0,2,295.0,1,295.0
20171126151800,RDRE,T_RMPNO-1,75.0,100,75.0,50,75.0
20171126172100,RDRE,T_RMPNO-2,75.0,100,75.0,50,75.0
20180924223500,RDRE,T_ROCK-1,14.5,100,14.5,80,53.3
20170801162300,RDRE,T_RREW-1,30.0,100,30.0,50,30.0
20170801162500,RDRE,T_RRWW-1,30.0,100,30.0,50,30.0
20151029102800,RDRE,T_RUGGT-6,25.0,,,,
20021127094900,RDRE,T_RUGGT-7,25.0,20,25.0,10,25.0
20150501084200,RDRE,T_RUGPS-6,10.0,245,10.0,200,25.0
20141213151700,RDRE,T_RUGPS-7,10.0,200,25.0,,
20180917100200,RDRE,T_RYHPS-1,15.0,290,8.0,50,2.0
20130209094200,RDRE,T_SCCL-1,16.0,400,16.0,190,16.0
20140415191400,RDRE,T_SCCL-2,16.0,,,,
20130718093800,RDRE,T_SCCL-3,16.0,400,16.0,18,16.0
20010330110000,RDRE,T_SCCL-4,10.0,,,,
20180313121500,RDRE,T_SEAB-1,30.0,460,22.0,300,22.0
20180406101900,RDRE,T_SEAB-2,13.0,250,13.0,150,13.0
20180909130400,RDRE,T_SHBA-1,27.0,280,39.0,,
20180922171700,RDRE,T_SHBA-2,27.0,260,55.0,,
20101215124400,RDRE,T_SIZB-1,5.0,,,,
20101215124400,RDRE,T_SIZB-2,5.0,,,,
20050331230000,RDRE,T_SLOY-2,12.0,30,12.0,3,12.0
20080729122800,RDRE,T_SLOY-3,15.0,30,15.0,3,15.0
20180924191200,RDRE,T_SPLN-1,2.0,771,16.0,420,28.5
20180914162400,RDRE,T_STAY-1,17.5,125,41.0,43,11.0
20180628095800,RDRE,T_STAY-2,17.5,125,41.0,43,11.0
20180530142400,RDRE,T_STAY-3,17.5,125,41.0,43,11.0
20180824131900,RDRE,T_STAY-4,17.5,125,41.0,43,11.0
20151112164900,RDRE,T_STRNW-1,100.0,,,,
20171209193100,RDRE,T_SUTB-1,20.0,440,10.0,330,20.0
20170115075500,RDRE,T_SVRP-10,13.0,217,6.6,55,3.7
20170115075500,RDRE,T_SVRP-20,13.0,217,6.6,55,3.7
20130514082600,RDRE,T_TDBNW-1,999.0,,,,
20101201164100,RDRE,T_TORN-1,4.0,,,,
20101201164600,RDRE,T_TORN-2,4.0,,,,
20051122115700,RDRE,T_USKM-13,4.0,70,6.0,,
20150425022500,RDRE,T_USKM-14,6.0,70,6.0,,
20051122115700,RDRE,T_USKM-15,4.0,70,6.0,,
20180222120200,RDRE,T_WBUPS-1,10.0,200,4.0,170,85.0
20180222120200,RDRE,T_WBUPS-2,10.0,200,4.0,170,85.0
20180222120300,RDRE,T_WBUPS-3,10.0,200,4.0,170,85.0
20180222120400,RDRE,T_WBUPS-4,10.0,200,4.0,170,85.0
20160210112400,RDRE,T_WBURB-1,24.0,158,11.0,30,30.0
20160210112300,RDRE,T_WBURB-2,24.0,158,11.0,30,30.0
20160210112200,RDRE,T_WBURB-3,24.0,158,11.0,30,30.0
20160823111500,RDRE,T_WDNSO-1,191.0,,,,
20160823111500,RDRE,T_WDNSO-2,191.0,,,,
20180419121900,RDRE,T_WHIHW-1,13.5,,,,
20160823111600,RDRE,T_WHILW-1,305.0,,,,
20160823111600,RDRE,T_WHILW-2,206.0,,,,
20170327141000,RDRE,T_WILCT-1,5.0,,,,
20130514082900,RDRE,T_WLNYO-2,999.0,,,,
20180417053800,RDRE,T_WLNYO-3,999.0,,,,
20180417054000,RDRE,T_WLNYO-4,999.0,2,999.0,1,999.0
20130514082900,RDRE,T_WLNYW-1,999.0,,,,
20150604125900,RDRE,T_WTMSO-1,205.0,2,205.0,1,205.0
20010322170700,RDRE,T_WYLF-1,5.0,,,,
20010322170800,RDRE,T_WYLF-2,5.0,,,,
20010322170800,RDRE,T_WYLF-3,5.0,,,,
20010322170900,RDRE,T_WYLF-4,5.0,,,,
20180903052700,RURI,2__AANGE001,999.0,-7,999.0,-6,999.0
20170801110000,RURI,2__AEENG000,10.0,,,,
20170801110000,RURI,2__CEENG000,10.0,,,,
20170801110000,RURI,2__DEENG000,10.0,,,,
20180404105600,RURI,2__DPGEN001,5.6,,,,
20171107120000,RURI,2__FMAGN000,10.0,,,,
20170801110000,RURI,2__GEENG000,10.0,,,,
20170801110000,RURI,2__HEENG000,10.0,,,,
20170801110000,RURI,2__JEENG000,10.0,,,,
20140305120000,RURI,2__JVETS000,10.0,,,,
20170801110000,RURI,2__KEENG000,10.0,,,,
20170801110000,RURI,2__LEENG000,10.0,,,,
20130514075100,RURI,E_BABAW-1,999.0,,,,
20170810154600,RURI,E_BETHW-1,0.2,,,,
20010319171500,RURI,E_BRGG-1,5.0,,,,
20130514075700,RURI,E_BTUIW-2,999.0,,,,
20180417061100,RURI,E_BURBO,999.0,,,,
20130514080100,RURI,E_CLFLW-1,999.0,,,,
20050725110000,RURI,E_FASN-3,10.0,,,,
20130514081100,RURI,E_GLOFW-1,999.0,,,,
20130514081500,RURI,E_HLTWW-1,999.0,,,,
20010326110000,RURI,E_MANXENR-1,10.0,,,,
20010410110000,RURI,I_IFD-ELEE1,10.0,,,,
20010319120000,RURI,I_IFD-INNE1,10.0,,,,
20010319120000,RURI,I_IFG-INNE1,10.0,,,,
20121228111900,RURI,I_IID-ELTR1,10.0,,,,
20121228112000,RURI,I_IIG-ELTR1,10.0,,,,
20130514075000,RURI,T_ANSUW-1,999.0,,,,
20170810154600,RURI,T_ARCHW-1,0.2,,,,
20150327070800,RURI,T_BAGE-1,10.0,,,,
20040525071200,RURI,T_BARK-1,3.0,-2,2.0,-1,1.0
20040525072300,RURI,T_BARKB2,3.0,-2,2.0,-1,1.0
20130514075300,RURI,T_BLLA-1,999.0,,,,
20170810154500,RURI,T_BLLA-2,0.2,,,,
20130514075500,RURI,T_BOWLW-1,999.0,,,,
20180417060900,RURI,T_BRBEO-1,999.0,,,,
20130514080000,RURI,T_CLDCW-1,999.0,,,,
20130514080000,RURI,T_CLDNW-1,999.0,,,,
20130514080100,RURI,T_CLDSW-1,999.0,,,,
20130514080200,RURI,T_CRGHW-1,999.0,,,,
20050331230000,RURI,T_CRUA-1,178.0,,,,
20050331230000,RURI,T_CRUA-2,178.0,,,,
20060108172100,RURI,T_CRUA-3,178.0,,,,
20051228104100,RURI,T_CRUA-4,178.0,,,,
20130514080400,RURI,T_CRYRW-2,999.0,,,,
20180401050300,RURI,T_DINO-1,999.0,,,,
20030407164300,RURI,T_DINO-2,999.0,,,,
20030407164400,RURI,T_DINO-3,999.0,,,,
20030412023800,RURI,T_DINO-4,999.0,,,,
20180401050300,RURI,T_DINO-5,999.0,,,,
20030412023900,RURI,T_DINO-6,999.0,,,,
20130514080500,RURI,T_DNLWW-1,999.0,,,,
20170810154500,RURI,T_DRSLW-1,0.2,,,,
20170810154500,RURI,T_EWHLW-1,0.2,,,,
20130514080900,RURI,T_FALGW-1,999.0,,,,
20130514080800,RURI,T_FARR-1,999.0,,,,
20130514080800,RURI,T_FARR-2,999.0,,,,
20050725110000,RURI,T_FASN-2,10.0,,,,
20180401050300,RURI,T_FFES-1,90.0,,,,
20010528043400,RURI,T_FFES-2,90.0,,,,
20010528043400,RURI,T_FFES-3,90.0,,,,
20010528043400,RURI,T_FFES-4,90.0,,,,
20170118070500,RURI,T_FOYE-1,156.0,-155,156.0,-100,156.0
20170118070500,RURI,T_FOYE-2,156.0,-155,156.0,-100,156.0
20180417061300,RURI,T_GNFSW-1,999.0,,,,
20180417061400,RURI,T_GNFSW-2,999.0,,,,
20130514081100,RURI,T_GORDW-1,999.0,,,,
20130514081200,RURI,T_GRIFW-1,999.0,,,,
20130514081200,RURI,T_GRIFW-2,999.0,,,,
20130514081400,RURI,T_HADHW-1,999.0,,,,
20010413104900,RURI,T_KEAD-1,999.0,,,,
20130514081600,RURI,T_KILBW-1,999.0,,,,
20010424182700,RURI,T_KILLPG-1,11.0,-100,11.0,-80,11.0
20051229074900,RURI,T_KILNS-1,7.0,,,,
20130514081800,RURI,T_MILWW-1,999.0,,,,
20130514081900,RURI,T_MKHLW-1,999.0,,,,
20130514082200,RURI,T_OMNDW-1,999.0,,,,
20180417061700,RURI,T_RCBKO-1,999.0,,,,
20180417061800,RURI,T_RCBKO-2,999.0,,,,
20170801163500,RURI,T_RREW-1,999.0,,,,
20170801163600,RURI,T_RRWW-1,999.0,,,,
20010330110000,RURI,T_SCCL-4,10.0,,,,
20130514082600,RURI,T_TDBNW-1,999.0,,,,
20130514082800,RURI,T_WHILW-1,999.0,,,,
20130514082900,RURI,T_WHILW-2,999.0,,,,
20130514082900,RURI,T_WLNYO-2,999.0,,,,
20180417062000,RURI,T_WLNYO-3,999.0,,,,
20180417062100,RURI,T_WLNYO-4,999.0,,,,
20130514083000,RURI,T_WLNYW-1,999.0,,,,
20010917151000,RURI,T__HYELT002,200.0,,,,
20180613021700,RURI,T__KYELT003,1.0,,,,
20180613000400,RURI,T__MYELT001,1.0,,,,
20180903052800,RDRI,2__AANGE001,999.0,-6,999.0,-7,999.0
20170801110000,RDRI,2__AEENG000,10.0,,,,
20170801110000,RDRI,2__CEENG000,10.0,,,,
20170801110000,RDRI,2__DEENG000,10.0,,,,
20171107120000,RDRI,2__FMAGN000,10.0,,,,
20170801110000,RDRI,2__GEENG000,10.0,,,,
20170801110000,RDRI,2__HEENG000,10.0,,,,
20170801110000,RDRI,2__JEENG000,10.0,,,,
20140305120000,RDRI,2__JVETS000,10.0,,,,
20170801110000,RDRI,2__KEENG000,10.0,,,,
20170801110000,RDRI,2__LEENG000,10.0,,,,
20130514075100,RDRI,E_BABAW-1,999.0,,,,
20130514075100,RDRI,E_BETHW-1,999.0,,,,
20010319171600,RDRI,E_BRGG-1,5.0,,,,
20130514075600,RDRI,E_BTUIW-2,999.0,,,,
20180417061100,RDRI,E_BURBO,999.0,,,,
20130514080100,RDRI,E_CLFLW-1,999.0,,,,
20051207153000,RDRI,E_CORB-1,10.0,,,,
20050725110000,RDRI,E_FASN-3,10.0,,,,
20130514081000,RDRI,E_GLOFW-1,999.0,,,,
20130514081500,RDRI,E_HLTWW-1,999.0,,,,
20010326110000,RDRI,E_MANXENR-1,10.0,,,,
20010410110000,RDRI,I_IFD-ELEE1,10.0,,,,
20010319120000,RDRI,I_IFD-INNE1,10.0,,,,
20010319120000,RDRI,I_IFG-INNE1,10.0,,,,
20121228112300,RDRI,I_IID-ELTR1,10.0,,,,
20121228112200,RDRI,I_IIG-ELTR1,10.0,,,,
20130514075000,RDRI,T_ANSUW-1,999.0,,,,
20130514075000,RDRI,T_ARCHW-1,999.0,,,,
20150924085100,RDRI,T_BAGE-1,10.0,,,,
20040525071300,RDRI,T_BARK-1,1.0,-1,2.0,-2,3.0
20040525072700,RDRI,T_BARKB2,1.0,-1,2.0,-2,3.0
20130514075300,RDRI,T_BLLA-1,999.0,,,,
20130514075400,RDRI,T_BOWLW-1,999.0,,,,
20180417060800,RDRI,T_BRBEO-1,999.0,,,,
20130514075900,RDRI,T_CLDCW-1,999.0,,,,
20130514080000,RDRI,T_CLDNW-1,999.0,,,,
20130514080000,RDRI,T_CLDSW-1,999.0,,,,
20130514080200,RDRI,T_CRGHW-1,999.0,,,,
20050331230000,RDRI,T_CRUA-1,178.0,,,,
20050331230000,RDRI,T_CRUA-2,178.0,,,,
20060108172200,RDRI,T_CRUA-3,178.0,,,,
20060117222300,RDRI,T_CRUA-4,178.0,,,,
20130514080300,RDRI,T_CRYRW-2,999.0,,,,
20180401050300,RDRI,T_DINO-1,999.0,,,,
20030407164300,RDRI,T_DINO-2,999.0,,,,
20030407164400,RDRI,T_DINO-3,999.0,,,,
20030412023800,RDRI,T_DINO-4,999.0,,,,
20180401050300,RDRI,T_DINO-5,999.0,,,,
20030412024000,RDRI,T_DINO-6,999.0,,,,
20130514080500,RDRI,T_DNLWW-1,999.0,,,,
20170810154600,RDRI,T_EWHLW-1,0.2,,,,
20130514080800,RDRI,T_FALGW-1,999.0,,,,
20130514080800,RDRI,T_FARR-1,999.0,,,,
20130514080800,RDRI,T_FARR-2,999.0,,,,
20050725110000,RDRI,T_FASN-2,10.0,,,,
20180401050300,RDRI,T_FFES-1,90.0,,,,
20010528043500,RDRI,T_FFES-2,90.0,,,,
20010528043500,RDRI,T_FFES-3,90.0,,,,
20010528043500,RDRI,T_FFES-4,90.0,,,,
20170104143100,RDRI,T_FOYE-1,6.0,-6,149.0,-155,149.0
20170104143200,RDRI,T_FOYE-2,6.0,-6,149.0,-155,149.0
20180417061300,RDRI,T_GNFSW-1,999.0,,,,
20180417061500,RDRI,T_GNFSW-2,999.0,,,,
20130514081100,RDRI,T_GORDW-1,999.0,,,,
20130514081100,RDRI,T_GRIFW-1,999.0,,,,
20130514081200,RDRI,T_GRIFW-2,999.0,,,,
20130514081400,RDRI,T_HADHW-1,999.0,,,,
20010413105400,RDRI,T_KEAD-1,999.0,,,,
20130514081600,RDRI,T_KILBW-1,999.0,,,,
20140228125300,RDRI,T_KILNS-1,20.0,,,,
20011109144800,RDRI,T_MEDP-1,10.0,,,,
20130514081700,RDRI,T_MILWW-1,999.0,,,,
20130514081900,RDRI,T_MKHLW-1,999.0,,,,
20130514082100,RDRI,T_OMNDW-1,999.0,,,,
20180417061700,RDRI,T_RCBKO-1,999.0,,,,
20180417061800,RDRI,T_RCBKO-2,999.0,,,,
20010321162500,RDRI,T_ROCK-1,13.0,,,,
20170801163500,RDRI,T_RREW-1,999.0,,,,
20170801163500,RDRI,T_RRWW-1,999.0,,,,
20010330110000,RDRI,T_SCCL-4,10.0,,,,
20130514082600,RDRI,T_TDBNW-1,999.0,,,,
20040825231600,RDRI,T_USKM-13,1.0,,,,
20130514082800,RDRI,T_WHILW-1,999.0,,,,
20130514082800,RDRI,T_WHILW-2,999.0,,,,
20130514082900,RDRI,T_WLNYO-2,999.0,,,,
20180417062000,RDRI,T_WLNYO-3,999.0,,,,
20180417062100,RDRI,T_WLNYO-4,999.0,,,,
20130514082900,RDRI,T_WLNYW-1,999.0,,,,
20010917151000,RDRI,T__HYELT002,200.0,,,,
20180613021800,RDRI,T__KYELT003,1.0,,,,
